Date, Open, High, Low, Close
09/03/15,1.1227,1.1244,1.1088,1.1123
09/04/15,1.1124,1.1191,1.1091,1.1153
09/07/15,1.1153,1.1179,1.1123,1.1172
09/08/15,1.1171,1.1231,1.1154,1.1203
09/09/15,1.1202,1.1213,1.1133,1.1207
09/10/15,1.1206,1.1297,1.1174,1.128
09/11/15,1.128,1.135,1.1255,1.1338
09/14/15,1.1338,1.1374,1.1284,1.1318
09/15/15,1.1317,1.133,1.126,1.1269
09/16/15,1.1271,1.1321,1.1215,1.1292
09/17/15,1.1293,1.1442,1.1285,1.1437
09/18/15,1.1436,1.1461,1.1271,1.1302
09/21/15,1.1302,1.133,1.1181,1.1191
09/22/15,1.1188,1.1208,1.1114,1.1128
09/23/15,1.1123,1.1214,1.1104,1.1186
09/24/15,1.1187,1.1297,1.1164,1.1233
09/25/15,1.1232,1.1234,1.1118,1.1199
09/28/15,1.1199,1.1249,1.1147,1.1244
09/29/15,1.1243,1.1281,1.1189,1.1248
09/30/15,1.1249,1.1262,1.1158,1.1178
10/01/15,1.1177,1.1209,1.1136,1.1197
10/02/15,1.1196,1.132,1.1151,1.1214
10/05/15,1.1214,1.1291,1.1175,1.1188
10/06/15,1.1189,1.128,1.1173,1.1273
10/07/15,1.1272,1.1283,1.1213,1.1238
10/08/15,1.1239,1.1327,1.1236,1.1278
10/09/15,1.1277,1.1388,1.1267,1.1359
10/12/15,1.1359,1.1399,1.1358,1.136
10/13/15,1.1361,1.1412,1.1344,1.138
10/14/15,1.1381,1.1491,1.1378,1.1474
10/15/15,1.1475,1.1497,1.1363,1.1383
10/16/15,1.1385,1.1401,1.1336,1.1349
10/19/15,1.1349,1.1381,1.1306,1.1326
10/20/15,1.1328,1.1387,1.1324,1.1347
10/21/15,1.1345,1.1379,1.1335,1.134
10/22/15,1.1341,1.1353,1.11,1.111
10/23/15,1.1108,1.1141,1.0996,1.1018
10/26/15,1.1018,1.107,1.1004,1.1058
10/27/15,1.1058,1.1079,1.1031,1.1049
10/28/15,1.1051,1.1096,1.0897,1.0924
10/29/15,1.0925,1.0985,1.0902,1.0978
10/30/15,1.0978,1.1073,1.0965,1.1006
